FID	IID	phenotype
0	HG00096	111.447330487746
0	HG00097	80.338285451675
0	HG00099	151.88450283507
0	HG00100	180.39932607787
0	HG00101	134.38225293521
0	HG00102	83.0913954904179
0	HG00103	289.542594170891
0	HG00104	193.239510121071
0	HG00105	255.797060115677
0	HG00106	223.633914620282
0	HG00108	158.72550298599
0	HG00109	182.856670026037
0	HG00110	127.688199947944
0	HG00111	92.5423624253745
0	HG00112	165.570320843407
0	HG00114	144.829351563542
0	HG00115	200.815119905978
0	HG00116	55.6646827119652
0	HG00117	234.686355182427
0	HG00118	154.370296641965
0	HG00119	164.02119685099
0	HG00120	166.566666881117
0	HG00121	247.964351531457
0	HG00122	253.701535557166
0	HG00123	206.934946513261
0	HG00124	114.496552453066
0	HG00125	143.618945165638
0	HG00126	245.308904941811
0	HG00127	200.50127417917
0	HG00128	162.240297694379
0	HG00129	80.7831342586489
0	HG00130	51.0071579968973
0	HG00131	84.6464190007032
0	HG00132	83.3368219323639
0	HG00133	101.658159690103
0	HG00134	151.740775106356
0	HG00135	141.759174093636
0	HG00136	265.91072246723
0	HG00137	194.184739902315
0	HG00138	50.522658684868
0	HG00139	170.930967222161
0	HG00141	234.546929312665
0	HG00142	190.631620962564
0	HG00143	156.135319407713
0	HG00145	185.987086669513
0	HG00146	165.762871090068
0	HG00148	181.833789411123
0	HG00149	146.231146146931
0	HG00150	140.309321101518
0	HG00151	158.908187948645
0	HG00152	130.693170531763
0	HG00154	155.571557670951
0	HG00155	142.471936506153
0	HG00156	183.816597374976
0	HG00157	132.193400607964
0	HG00158	73.3306069558788
0	HG00159	176.695751335356
0	HG00160	259.760464969227
0	HG00171	222.2622628092
0	HG00173	217.112906334208
0	HG00174	153.941371862848
0	HG00176	147.339806951956
0	HG00177	126.475461238294
0	HG00178	156.437705652191
0	HG00179	163.881822501881
0	HG00180	209.633958563377
0	HG00181	186.297457347772
0	HG00182	185.560675050906
0	HG00183	257.70628085817
0	HG00185	159.826842974155
0	HG00186	104.353654687111
0	HG00187	203.945269887327
0	HG00188	195.633585819275
0	HG00189	170.278872268565
0	HG00231	271.434719428009
0	HG00232	134.514492917667
0	HG00233	240.753356837767
0	HG00234	298.604256149333
0	HG00235	183.403016855355
0	HG00236	160.896586669074
0	HG00238	141.602331932689
0	HG00239	199.693283623728
0	HG00240	314.214470290426
0	HG00242	126.347041726186
0	HG00243	205.324560093914
0	HG00244	186.738785666817
0	HG00245	213.635810931625
0	HG00246	147.150661724753
0	HG00247	232.52727493369
0	HG00249	249.608845708261
0	HG00250	166.352639504113
0	HG00251	126.673730134809
0	HG00252	221.783539983515
0	HG00253	80.2813985772758
0	HG00255	177.645758696151
0	HG00256	275.441738522681
0	HG00257	198.733225510105
0	HG00258	153.951716915714
0	HG00259	160.036153555493
0	HG00260	115.741419674954
0	HG00261	83.6285887654722
0	HG00262	48.3524911003213
0	HG00263	266.537874171072
0	HG00264	112.210890682814
0	HG00265	311.581785121973
0	HG00266	180.534108427706
0	HG00267	186.559835856577
0	HG00268	114.035807552561
0	HG00269	245.942614361347
0	HG00271	183.163446005802
0	HG00272	133.963580415284
0	HG00273	118.767883602838
0	HG00274	108.850776332293
0	HG00275	215.602951234526
0	HG00276	70.0678554894595
0	HG00277	177.494156373976
0	HG00278	234.545541986413
0	HG00280	113.276246054926
0	HG00281	249.517639318526
0	HG00282	132.679814752707
0	HG00284	209.230713451607
0	HG00285	232.408067489429
0	HG00306	114.620807368965
0	HG00308	106.603731589558
0	HG00309	61.3081523774442
0	HG00310	170.010101463404
0	HG00311	199.505154788451
0	HG00312	124.64881144175
0	HG00313	200.190555342477
0	HG00315	155.903198563471
0	HG00319	259.855783931334
0	HG00320	130.300255787973
0	HG00321	156.778148824025
0	HG00323	133.936878948913
0	HG00324	169.926867075869
0	HG00325	108.259797670971
0	HG00326	132.892402033968
0	HG00327	171.772478601483
0	HG00328	161.643276752555
0	HG00329	89.4230212655969
0	HG00330	129.772858641538
0	HG00331	130.728627417682
0	HG00332	88.9833447868583
0	HG00334	305.841482174083
0	HG00335	242.163585726894
0	HG00336	133.908023673628
0	HG00337	159.625010645342
0	HG00338	177.73602132526
0	HG00339	169.361451153896
0	HG00341	225.987474095617
0	HG00342	215.248975770851
0	HG00343	75.5633148145916
0	HG00344	278.226298513513
0	HG00345	138.637972794129
0	HG00346	161.891554101244
0	HG00349	202.561551930524
0	HG00350	292.070815044498
0	HG00351	129.755533218286
0	HG00353	117.64517412563
0	HG00355	158.421075739143
0	HG00356	208.796767243747
0	HG00358	129.271645393296
0	HG00359	103.62327277805
0	HG00360	74.2812866198814
0	HG00361	149.0282062216
0	HG00362	200.848991812315
0	HG00364	64.3163618095775
0	HG00365	175.014365427683
0	HG00366	182.397788207869
0	HG00367	144.866076677547
0	HG00369	219.304598160589
0	HG00371	221.404551138958
0	HG00372	194.186938063211
0	HG00373	179.791960891391
0	HG00375	77.3677887557599
0	HG00376	92.1531907784
0	HG00377	141.374024308405
0	HG00378	66.8813521045905
0	HG00379	154.208776914431
0	HG00380	215.846847159491
0	HG00381	128.963966981268
0	HG00382	94.6148355873166
0	HG00383	171.208655153084
0	HG00384	201.856933266789
0	HG01334	97.2170731882834
0	HG01789	97.367105763371
0	HG01790	157.453739008156
0	HG01791	96.3481624059933
0	HG02215	239.81115027283
0	NA06984	176.406938880885
0	NA06985	180.913018223045
0	NA06986	115.754612177366
0	NA06989	187.05321076099
0	NA06994	238.464339509309
0	NA07037	209.752696315494
0	NA07048	128.499758229474
0	NA07051	167.748447928225
0	NA07056	98.605700915221
0	NA07346	156.472475939886
0	NA07347	160.096150671256
0	NA07357	146.837106114259
0	NA10847	152.330228368354
0	NA10851	250.326833328894
0	NA11829	186.024173951535
0	NA11830	127.211418020782
0	NA11831	149.03000706409
0	NA11832	191.481209096398
0	NA11840	156.604703458891
0	NA11843	203.436238752748
0	NA11881	96.380202904568
0	NA11892	100.681010034861
0	NA11893	226.479075205337
0	NA11894	201.255643949144
0	NA11918	224.107125716186
0	NA11920	121.863110140739
0	NA11930	54.5425151329181
0	NA11931	101.502334653832
0	NA11992	84.0922664091578
0	NA11993	138.373102051541
0	NA11994	36.4612107316143
0	NA11995	172.476660527952
0	NA12004	96.3522286772503
0	NA12005	76.2204109791493
0	NA12006	155.278359524208
0	NA12043	258.637123132179
0	NA12044	93.3859254366371
0	NA12045	135.160670520649
0	NA12058	151.712154266353
0	NA12144	247.95221705629
0	NA12154	177.535231788674
0	NA12155	189.752767544883
0	NA12156	124.251295134691
0	NA12234	171.016868999087
0	NA12249	231.028818540104
0	NA12272	154.905658827414
0	NA12273	136.713989953148
0	NA12275	299.087749453452
0	NA12282	141.178555504707
0	NA12283	230.576595488113
0	NA12286	106.836187628183
0	NA12287	193.385064656668
0	NA12340	161.519201557611
0	NA12341	185.938616260053
0	NA12342	148.079629673023
0	NA12347	204.89299881256
0	NA12348	102.44731151115
0	NA12383	231.756625620683
0	NA12399	75.8400589691224
0	NA12400	144.685121103552
0	NA12413	192.84692560944
0	NA12489	175.127304703836
0	NA12546	150.813560481401
0	NA12716	205.360390235674
0	NA12717	170.956944917162
0	NA12718	121.593865098337
0	NA12749	159.991482480556
0	NA12750	192.73349399436
0	NA12751	232.345407199552
0	NA12760	113.755083294588
0	NA12761	105.330388899389
0	NA12762	110.710179059902
0	NA12763	251.534028111957
0	NA12775	231.687468360702
0	NA12776	127.037880008342
0	NA12777	151.502448936226
0	NA12778	152.922951680367
0	NA12812	73.4697220098872
0	NA12813	144.301477780367
0	NA12814	144.896476275922
0	NA12815	128.559065237056
0	NA12827	163.296001839762
0	NA12829	212.745466048018
0	NA12830	271.207868044755
0	NA12842	203.970886746809
0	NA12843	167.896415415325
0	NA12872	261.624777115173
0	NA12873	69.2549529232935
0	NA12874	150.726947719656
0	NA12889	121.283665247261
0	NA12890	75.0274923666324
0	NA18486	149.11204839974
0	NA18487	227.710020956349
0	NA18488	187.650245588313
0	NA18489	145.981976866159
0	NA18498	288.954203614015
0	NA18499	126.267387937454
0	NA18502	215.42026247778
0	NA18505	240.87731264697
0	NA18508	182.68509863553
0	NA18510	228.081598510467
0	NA18511	129.320643250507
0	NA18517	140.661667956064
0	NA18519	135.193886157987
0	NA18520	212.84458447187
0	NA18858	159.961269670023
0	NA18861	143.336792262187
0	NA18867	315.63581402693
